threshold,precision,recall,f1,unit_accuracy,positive_unit_accuracy,unit_mae,false_positive_rate,predicted_positive_rows,actual_positive_rows
0.01,1.0,0.15517241379310345,0.26865671641791045,0.8656716417910447,0.2,0.16044776119402984,0.0,9,58
0.03,1.0,0.15517241379310345,0.26865671641791045,0.8656716417910447,0.2,0.16044776119402984,0.0,9,58
0.05,1.0,0.15517241379310345,0.26865671641791045,0.8656716417910447,0.2,0.16044776119402984,0.0,9,58
0.1,1.0,0.15517241379310345,0.26865671641791045,0.8656716417910447,0.2,0.16044776119402984,0.0,9,58
0.2,1.0,0.15517241379310345,0.26865671641791045,0.8656716417910447,0.2,0.16044776119402984,0.0,9,58
0.35,1.0,0.15517241379310345,0.26865671641791045,0.8656716417910447,0.2,0.16044776119402984,0.0,9,58
0.5,1.0,0.15517241379310345,0.26865671641791045,0.8656716417910447,0.2,0.16044776119402984,0.0,9,58
0.65,1.0,0.15517241379310345,0.26865671641791045,0.8656716417910447,0.2,0.16044776119402984,0.0,9,58
0.8,1.0,0.15517241379310345,0.26865671641791045,0.8656716417910447,0.2,0.16044776119402984,0.0,9,58
0.9,1.0,0.13793103448275862,0.2424242424242424,0.8619402985074627,0.17777777777777778,0.16417910447761194,0.0,8,58
0.95,1.0,0.13793103448275862,0.2424242424242424,0.8619402985074627,0.17777777777777778,0.16417910447761194,0.0,8,58
