section,epoch,elapsed_minutes,estimated_remaining_minutes,best_epoch,best_f1,val_threshold,val_precision,val_recall,val_f1,val_unit_accuracy,val_positive_unit_accuracy,val_unit_mae,val_false_positive_rate,val_predicted_positive_rows,val_actual_positive_rows
review,1,0.049519554773966475,4.902435922622681,1,0.6725663716814159,0.05,0.6909090909090909,0.6551724137931034,0.6725663716814159,0.8395522388059702,0.5777777777777777,0.16791044776119404,0.08095238095238096,55.0,58.0
review,2,0.07296452124913534,3.5752615412076314,1,0.6725663716814159,0.01,0.7435897435897436,0.5,0.5979381443298969,0.8582089552238806,0.4222222222222222,0.16791044776119404,0.047619047619047616,39.0,58.0
review,3,0.09486712217330932,3.067370283603668,1,0.6725663716814159,0.01,0.8484848484848485,0.4827586206896552,0.6153846153846154,0.8843283582089553,0.4444444444444444,0.12686567164179105,0.023809523809523808,33.0,58.0
review,4,0.11848165194193522,2.8435596466064452,1,0.6725663716814159,0.01,0.8484848484848485,0.4827586206896552,0.6153846153846154,0.8805970149253731,0.4222222222222222,0.13059701492537312,0.023809523809523808,33.0,58.0
review,5,0.14041057030359905,2.667800835768382,1,0.6725663716814159,0.01,0.9090909090909091,0.5172413793103449,0.6593406593406593,0.8880597014925373,0.4444444444444444,0.11940298507462686,0.014285714285714285,33.0,58.0
review,6,0.1627068877220154,2.5490745743115744,6,0.6813186813186812,0.01,0.9393939393939394,0.5344827586206896,0.6813186813186812,0.8917910447761194,0.4444444444444444,0.11567164179104478,0.009523809523809525,33.0,58.0
review,7,0.18760815064112346,2.4925082870892115,7,0.717391304347826,0.03,0.9705882352941176,0.5689655172413793,0.717391304347826,0.9029850746268657,0.4888888888888889,0.1044776119402985,0.004761904761904762,34.0,58.0
review,8,0.21116002003351847,2.4283402303854627,7,0.717391304347826,0.03,0.9705882352941176,0.5689655172413793,0.717391304347826,0.9067164179104478,0.5111111111111111,0.10074626865671642,0.004761904761904762,34.0,58.0
review,9,0.23606973489125568,2.3869273194560297,9,0.7311827956989247,0.03,0.9714285714285714,0.5862068965517241,0.7311827956989247,0.914179104477612,0.5555555555555556,0.10074626865671642,0.004761904761904762,35.0,58.0
review,10,0.2588676651318868,2.3298089861869813,10,0.7368421052631577,0.01,0.9459459459459459,0.603448275862069,0.7368421052631577,0.914179104477612,0.5777777777777777,0.10074626865671642,0.009523809523809525,37.0,58.0
review,11,0.28446765343348185,2.301601923234535,11,0.7446808510638298,0.03,0.9722222222222222,0.603448275862069,0.7446808510638298,0.917910447761194,0.5777777777777777,0.09701492537313433,0.004761904761904762,36.0,58.0
review,12,0.30731679995854694,2.2536565330293445,11,0.7446808510638298,0.03,0.9722222222222222,0.603448275862069,0.7446808510638298,0.917910447761194,0.5777777777777777,0.10074626865671642,0.004761904761904762,36.0,58.0
review,13,0.33146820068359373,2.2182871891902045,13,0.7578947368421053,0.03,0.972972972972973,0.6206896551724138,0.7578947368421053,0.917910447761194,0.5777777777777777,0.1044776119402985,0.004761904761904762,37.0,58.0
review,14,0.3549487511316935,2.180399471237546,13,0.7578947368421053,0.03,0.972972972972973,0.6206896551724138,0.7578947368421053,0.917910447761194,0.5777777777777777,0.1044776119402985,0.004761904761904762,37.0,58.0
review,15,0.3775219360987345,2.139290971226162,13,0.7578947368421053,0.03,0.972972972972973,0.6206896551724138,0.7578947368421053,0.917910447761194,0.5777777777777777,0.1044776119402985,0.004761904761904762,37.0,58.0
