section,epoch,elapsed_minutes,estimated_remaining_minutes,best_epoch,best_f1,val_threshold,val_precision,val_recall,val_f1,val_unit_accuracy,val_positive_unit_accuracy,val_unit_mae,val_false_positive_rate,val_predicted_positive_rows,val_actual_positive_rows
allocate,1,0.05635081132253011,4.451714094479879,1,0.7705521472392637,0.35,0.8722222222222222,0.6901098901098901,0.7705521472392637,0.5869980879541109,0.6263736263736264,0.47992351816443596,0.6764705882352942,360.0,455.0
allocate,2,0.08536009788513184,3.329043817520142,2,0.9448275862068966,0.9,0.9903614457831326,0.9032967032967033,0.9448275862068966,0.6195028680688337,0.5714285714285714,0.4130019120458891,0.058823529411764705,415.0,455.0
allocate,3,0.11613676548004151,2.9808436473210653,3,0.9673790776152982,0.8,0.9907834101382489,0.945054945054945,0.9673790776152982,0.6520076481835564,0.6087912087912087,0.39579349904397704,0.058823529411764705,434.0,455.0
allocate,4,0.14243687788645426,2.7063006798426312,3,0.9673790776152982,0.9,0.9840182648401826,0.9472527472527472,0.9652855543113101,0.6462715105162524,0.6087912087912087,0.40344168260038243,0.10294117647058823,438.0,455.0
allocate,5,0.17312980095545452,2.5969470143318176,3,0.9673790776152982,0.9,0.9906542056074766,0.9318681318681319,0.9603624009060022,0.6462715105162524,0.6021978021978022,0.39961759082217974,0.058823529411764705,428.0,455.0
allocate,6,0.19917747974395753,2.456522250175476,3,0.9673790776152982,0.95,0.9951923076923077,0.9098901098901099,0.9506314580941446,0.6615678776290631,0.6153846153846154,0.3862332695984704,0.029411764705882353,416.0,455.0
allocate,7,0.2266853133837382,2.3640039824304124,3,0.9673790776152982,0.8,0.9928057553956835,0.9098901098901099,0.9495412844036698,0.6787762906309751,0.6373626373626373,0.37858508604206503,0.04411764705882353,417.0,455.0
allocate,8,0.25429121653238934,2.288620948791504,3,0.9673790776152982,0.95,0.9976359338061466,0.9274725274725275,0.9612756264236901,0.7093690248565966,0.6681318681318681,0.32504780114722753,0.014705882352941176,423.0,455.0
allocate,9,0.2836193839708964,2.237441806881516,9,0.9706546275395034,0.8,0.9976798143851509,0.945054945054945,0.9706546275395034,0.734225621414914,0.6967032967032967,0.2944550669216061,0.014705882352941176,431.0,455.0
allocate,10,0.31284741560618085,2.1899319092432656,10,0.9730337078651685,0.9,0.9954022988505747,0.9516483516483516,0.9730337078651685,0.751434034416826,0.7186813186813187,0.2829827915869981,0.029411764705882353,435.0,455.0
allocate,11,0.3402019143104553,2.13399382612922,11,0.9764309764309764,0.9,0.9977064220183486,0.9560439560439561,0.9764309764309764,0.7552581261950286,0.7208791208791209,0.27533460803059273,0.014705882352941176,436.0,455.0
allocate,12,0.3699301481246948,2.0962708393732705,12,0.9776785714285715,0.9,0.9931972789115646,0.9626373626373627,0.9776785714285715,0.7495219885277247,0.7186813186813187,0.28680688336520077,0.04411764705882353,441.0,455.0
allocate,13,0.3989129463831584,2.055935954436278,12,0.9776785714285715,0.8,0.9976905311778291,0.9494505494505494,0.972972972972973,0.7590822179732314,0.7252747252747253,0.27915869980879543,0.014705882352941176,433.0,455.0
allocate,14,0.4274946173032125,2.015331767286573,12,0.9776785714285715,0.65,0.9976958525345622,0.9516483516483516,0.9741282339707538,0.780114722753346,0.7494505494505495,0.26003824091778205,0.014705882352941176,434.0,455.0
allocate,15,0.4596537987391154,1.9918331278695,12,0.9776785714285715,0.01,0.9976905311778291,0.9494505494505494,0.972972972972973,0.7724665391969407,0.7406593406593407,0.2676864244741874,0.014705882352941176,433.0,455.0
allocate,16,0.49332073132197063,1.9732829252878825,12,0.9776785714285715,0.1,0.9976798143851509,0.945054945054945,0.9706546275395034,0.8240917782026769,0.8,0.21606118546845124,0.014705882352941176,431.0,455.0
allocate,17,0.5288585344950358,1.9598875101874857,12,0.9776785714285715,0.65,0.9931192660550459,0.9516483516483516,0.9719416386083053,0.8279158699808795,0.8087912087912088,0.2179732313575526,0.04411764705882353,436.0,455.0
allocate,18,0.5609896143277486,1.9322975604622452,12,0.9776785714285715,0.35,0.9930232558139535,0.9384615384615385,0.9649717514124294,0.8145315487571702,0.7934065934065934,0.2332695984703633,0.04411764705882353,430.0,455.0
allocate,19,0.5946837663650513,1.9092478814877962,12,0.9776785714285715,0.65,0.9976303317535545,0.9252747252747253,0.9600912200684151,0.8202676864244742,0.7956043956043956,0.22179732313575526,0.014705882352941176,422.0,455.0
allocate,20,0.6260828812917073,1.878248643875122,12,0.9776785714285715,0.5,0.9953271028037384,0.9362637362637363,0.9648924122310306,0.8221797323135756,0.8,0.2237093690248566,0.029411764705882353,428.0,455.0
allocate,21,0.6592623631159464,1.8522133058971828,12,0.9776785714285715,0.5,0.9953161592505855,0.9340659340659341,0.9637188208616779,0.8202676864244742,0.7978021978021979,0.2237093690248566,0.029411764705882353,427.0,455.0
allocate,22,0.6943808635075887,1.8306404583381883,12,0.9776785714285715,0.35,0.9930232558139535,0.9384615384615385,0.9649717514124294,0.8298279158699808,0.810989010989011,0.2198852772466539,0.04411764705882353,430.0,455.0
allocate,23,0.725373097260793,1.797663762776748,12,0.9776785714285715,0.5,0.9952718676122931,0.9252747252747253,0.958997722095672,0.8240917782026769,0.8021978021978022,0.22179732313575526,0.029411764705882353,423.0,455.0
allocate,24,0.758667814731598,1.7702249010403952,12,0.9776785714285715,0.35,0.9929742388758782,0.9318681318681319,0.9614512471655329,0.8336520076481836,0.8153846153846154,0.21414913957934992,0.04411764705882353,427.0,455.0
