section,epoch,elapsed_minutes,estimated_remaining_minutes,best_epoch,best_f1,val_threshold,val_precision,val_recall,val_f1,val_unit_accuracy,val_positive_unit_accuracy,val_unit_mae,val_false_positive_rate,val_predicted_positive_rows,val_actual_positive_rows
allocate,1,0.0791914979616801,6.256128338972728,1,0.9304703476482618,0.01,0.869980879541109,1.0,0.9304703476482618,0.7896749521988528,0.9076923076923077,1.592734225621415,1.0,523.0,455.0
allocate,2,0.11238544782002767,4.3830324649810795,2,0.9323770491803279,0.01,0.8733205374280231,1.0,0.9323770491803279,0.5659655831739961,0.6461538461538462,0.47418738049713194,0.9705882352941176,521.0,455.0
allocate,3,0.1428644299507141,3.666853702068329,2,0.9323770491803279,0.95,0.930648769574944,0.9142857142857143,0.9223946784922393,0.5487571701720841,0.5494505494505495,0.49904397705544934,0.45588235294117646,447.0,455.0
allocate,4,0.17311418056488037,3.289169430732727,2,0.9323770491803279,0.95,0.9242761692650334,0.9120879120879121,0.918141592920354,0.5411089866156787,0.5472527472527473,0.5066921606118547,0.5,449.0,455.0
allocate,5,0.20141988197962443,3.0212982296943665,2,0.9323770491803279,0.95,0.9201773835920177,0.9120879120879121,0.9161147902869756,0.5353728489483748,0.545054945054945,0.5105162523900574,0.5294117647058824,451.0,455.0
allocate,6,0.23105769952138264,2.8497116274303864,2,0.9323770491803279,0.95,0.9144736842105263,0.9164835164835164,0.9154774972557628,0.5372848948374761,0.5538461538461539,0.5162523900573613,0.5735294117647058,456.0,455.0
allocate,7,0.25652883052825926,2.6752292326518465,2,0.9323770491803279,0.9,0.9104803493449781,0.9164835164835164,0.9134720700985761,0.5296367112810707,0.5494505494505495,0.5200764818355641,0.6029411764705882,458.0,455.0
allocate,8,0.2811552007993062,2.530396807193756,2,0.9323770491803279,0.95,0.9104803493449781,0.9164835164835164,0.9134720700985761,0.5334608030592735,0.5538461538461539,0.51434034416826,0.6029411764705882,458.0,455.0
allocate,9,0.30379581451416016,2.3966114256117077,2,0.9323770491803279,0.95,0.912472647702407,0.9164835164835164,0.9144736842105263,0.5391969407265774,0.5582417582417583,0.5086042065009561,0.5882352941176471,457.0,455.0
allocate,10,0.3263012131055196,2.284108491738637,2,0.9323770491803279,0.95,0.9144736842105263,0.9164835164835164,0.9154774972557628,0.5449330783938815,0.5626373626373626,0.502868068833652,0.5735294117647058,456.0,455.0
allocate,11,0.35027352968851727,2.1971703225916084,2,0.9323770491803279,0.95,0.9164835164835164,0.9164835164835164,0.9164835164835164,0.5468451242829828,0.5626373626373626,0.5124282982791587,0.5588235294117647,455.0,455.0
allocate,12,0.37191413243611654,2.107513417137994,2,0.9323770491803279,0.95,0.9139072847682119,0.9098901098901099,0.9118942731277533,0.5411089866156787,0.5582417582417583,0.5219885277246654,0.5735294117647058,453.0,455.0
allocate,13,0.3951659321784973,2.0366244196891783,2,0.9323770491803279,0.95,0.9118942731277533,0.9098901098901099,0.9108910891089108,0.5430210325047801,0.5626373626373626,0.5200764818355641,0.5882352941176471,454.0,455.0
allocate,14,0.41760981480280557,1.9687319840703692,2,0.9323770491803279,0.95,0.9116997792494481,0.9076923076923077,0.9096916299559472,0.5411089866156787,0.5604395604395604,0.5219885277246654,0.5882352941176471,453.0,455.0
