threshold,precision,recall,f1,unit_accuracy,positive_unit_accuracy,unit_mae,false_positive_rate,predicted_positive_rows,actual_positive_rows
0.9,0.9464184997179921,0.9682631275245239,0.9572162007986309,0.6446239273094396,0.6485862665897288,0.5249873801110551,0.38306451612903225,1773,1733
0.8,0.94140625,0.9734564339296018,0.957163120567376,0.6441191317516406,0.6537795729948067,0.5254921756688541,0.42338709677419356,1792,1733
0.85,0.9428251121076233,0.9705712637045586,0.9564970145009951,0.6431095406360424,0.6508944027697634,0.5265017667844523,0.4112903225806452,1784,1733
0.75,0.9382990550305725,0.9740334679746105,0.955832389580974,0.6415951539626451,0.6543566070398154,0.5285209490156486,0.4475806451612903,1799,1733
0.65,0.9363233665559247,0.9757645701096365,0.9556371856456626,0.6410903584048461,0.6560877091748413,0.5290257445734478,0.4637096774193548,1806,1733
0.55,0.9334067143643369,0.9786497403346798,0.9554929577464789,0.6405855628470469,0.6589728793998846,0.5315497223624432,0.4879032258064516,1817,1733
0.6,0.9338842975206612,0.9780727062896711,0.955467869222097,0.6405855628470469,0.6583958453548759,0.5315497223624432,0.4838709677419355,1815,1733
0.7,0.9362880886426593,0.9751875360646278,0.9553420011305824,0.6405855628470469,0.6555106751298326,0.5295305401312469,0.4637096774193548,1805,1733
0.5,0.930958904109589,0.9803808424697057,0.9550309162450814,0.6395759717314488,0.6607039815349106,0.5325593134780414,0.5080645161290323,1825,1733
0.45,0.9299397920087575,0.9803808424697057,0.9544943820224719,0.6385663806158506,0.6607039815349106,0.5340737001514386,0.5161290322580645,1827,1733
0.3,0.9280261723009815,0.9821119446047317,0.9543033361368096,0.6380615850580514,0.6624350836699365,0.5345784957092378,0.532258064516129,1834,1733
0.35,0.9284934497816594,0.981534910559723,0.9542776998597475,0.6380615850580514,0.6618580496249279,0.5345784957092378,0.5282258064516129,1832,1733
0.4,0.9289617486338798,0.9809578765147143,0.9542520348021329,0.6380615850580514,0.6612810155799193,0.5345784957092378,0.5241935483870968,1830,1733
0.25,0.9270549809471965,0.9826889786497404,0.95406162464986,0.6375567895002524,0.6630121177149452,0.5350832912670368,0.5403225806451613,1837,1733
0.2,0.9256243213897937,0.9838430467397576,0.9538461538461539,0.6370519939424533,0.6641661858049625,0.5355880868248359,0.5524193548387096,1842,1733
0.15,0.9246203904555315,0.9838430467397576,0.9533128319821079,0.6360424028268551,0.6641661858049625,0.5365976779404341,0.5604838709677419,1844,1733
0.95,0.9521889400921659,0.9538372763993076,0.9530123955030269,0.6410903584048461,0.6376226197345644,0.5310449268046441,0.3346774193548387,1736,1733
0.05,0.9211663066954644,0.9844200807847663,0.9517433751743376,0.6330136294800606,0.6647432198499712,0.5396264512872286,0.5887096774193549,1852,1733
0.1,0.9211237169097785,0.9838430467397576,0.9514508928571429,0.6325088339222615,0.6641661858049625,0.5401312468450278,0.5887096774193549,1851,1733
